#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
0.0,3,3.956089
-1.0,2,3.958286
0.0,2,3.960723
0.0,2,3.962953
-0.096036,3,3.966176
-1.0,3,3.969186
0.0,4,3.972914
0.0,2,3.975037
0.0,4,3.979084
0.38893,2,3.98158
0.0,3,3.984435
0.0,2,3.986575
0.0,5,3.991753
-0.505558,4,3.996121
0.0,3,3.999093
0.0,3,4.002892
0.0,4,4.007696
0.0,3,4.010898
0.0,4,4.014582
-0.11725,5,4.019216
0.0,2,4.021241
0.0,3,4.024207
0.0,3,4.02739
0.0,2,4.029496
-1.0,4,4.033363
-0.22892,3,4.036212
-0.774803,4,4.039968
0.0,4,4.044471
0.0,3,4.047525
-0.73982,5,4.052642
0.0,3,4.055521
0.0,3,4.058981
-1.0,3,4.061705
0.0,5,4.066762
1.0,3,4.069525
-0.689416,4,4.073283
0.0,3,4.076638
0.0,3,4.080095
-0.185235,2,4.082143
0.0,4,4.086324
0.0,3,4.089035
0.0,4,4.093238
0.0,2,4.095202
0.0,3,4.098173
-0.310011,3,4.101121
0.0,2,4.103009
-0.893733,4,4.107057
0.0,2,4.109211
-1.0,2,4.11131
0.0,3,4.114667
0.0,2,4.11665
0.0,5,4.120991
-0.362914,4,4.124392
-0.770268,4,4.128785
0.0,2,4.130792
0.0,3,4.133777
-0.382514,4,4.137483
0.0,6,4.142978
0.0,5,4.147662
0.0,3,4.150787
-0.996713,3,4.15381
0.0,4,4.15786
-0.190539,4,4.162036
0.0,3,4.165034
-0.092074,3,4.168315
0.0,4,4.172531
0.0,3,4.175734
0.359911,3,4.179129
0.0,3,4.182574
0.0,3,4.186874
0.0,5,4.194213
0.0,2,4.197615
0.0,5,4.204598
-1.0,5,4.209918
0.0,5,4.215008
-1.0,2,4.217065
0.0,3,4.220063
-0.802045,3,4.222693
-0.12125,4,4.226754
0.0,2,4.228593
0.0,2,4.230638
0.0,4,4.234369
0.0,3,4.236884
0.0,2,4.238779
0.0,3,4.241362
0.0,3,4.2442
0.0,4,4.248255
0.0,5,4.25448
0.0,3,4.260708
0.0,5,4.269449
-1.0,4,4.276277
0.0,3,4.281718
0.0,3,4.287015
0.0,3,4.292629
0.0,2,4.296492
0.0,4,4.302499
0.0,4,4.308487
-0.618771,2,4.311916
0.0,6,4.318997
-1.0,3,4.322099
0.0,3,4.32503
-0.110747,5,4.330255
0.0,4,4.334198
0.0,5,4.33906
0.0,4,4.343352
0.0,4,4.347228
0.0,3,4.350505
-1.0,3,4.353262
0.0,2,4.355378
0.0,2,4.357446
0.0,3,4.360361
0.575691,3,4.363394
0.0,5,4.368463
1.5,2,4.370569
-1.0,3,4.373668
0.0,2,4.375651
0.0,4,4.380431
-1.0,3,4.38351
-0.142604,3,4.38649
0.0,3,4.388946
0.0,4,4.392919
0.184353,4,4.396652
0.0,3,4.399268
-0.417663,2,4.400988
0.0,5,4.405222
0.0,3,4.407701
0.708282,2,4.409539
0.0,2,4.411661
0.0,3,4.414387
-0.86334,4,4.418063
0.0,4,4.422019
0.098063,3,4.425014
0.0,3,4.428193
0.0,4,4.432195
-0.326584,4,4.43617
0.0,5,4.441421
0.0,4,4.445551
0.0,3,4.448936
0.0,2,4.451104
-0.917883,2,4.453152
-1.0,3,4.456275
-1.0,3,4.459068
0.0,3,4.462468
0.0,4,4.466352
-0.172957,3,4.46952
0.0,5,4.474323
0.0,3,4.477453
0.0,2,4.479304
-0.103423,3,4.482795
0.0,2,4.484735
0.0,3,4.487747
-0.389193,3,4.49079
0.0,2,4.492994
-0.395361,2,4.495424
-1.0,3,4.498771
0.0,2,4.5006
-0.724087,6,4.506371
0.401481,2,4.508106
0.0,4,4.512376
0.484403,3,4.51525
0.0,4,4.519112
-0.733767,5,4.523782
0.0,2,4.525902
0.0,3,4.528751
0.0,4,4.532962
-0.055141,3,4.536115
0.0,3,4.53921
0.344057,2,4.541016
0.0,4,4.545521
0.797185,3,4.548428
-1.0,4,4.552163
0.0,3,4.555192
0.323528,2,4.557019
-0.813486,2,4.559365
0.0,4,4.563358
0.217424,2,4.565605
0.442679,3,4.568887
0.0,3,4.572279
0.0,3,4.575169
-0.41999,2,4.577229
0.486509,3,4.580239
0.0,3,4.583067
0.0,2,4.584952
0.0,3,4.587921
0.0,2,4.58969
-0.40175,3,4.592746
1.0,3,4.595707
0.0,2,4.597641
0.0,2,4.599592
0.0,3,4.602814
-0.794398,2,4.60485
0.0,3,4.607969
0.0,2,4.609904
0.0,4,4.613592
